id,postcode,locality,long,lat,dc,show
10026,6000,CITY DELIVERY CENTRE,115.859912,-31.948762,Perth Metro,0
10027,6000,PERTH,115.859912,-31.948762,CITY DELIVERY CENTRE,1
10028,6000,PERTH GPO,115.859912,-31.948762,Perth Metro,0
10029,6001,PERTH,115.763228,-31.99212,CITY DELIVERY CENTRE,0
10030,6003,HIGHGATE,115.869136,-31.939272,CITY DELIVERY CENTRE,0
10031,6003,NORTHBRIDGE,115.869136,-31.939272,CITY DELIVERY CENTRE,0
10032,6004,EAST PERTH,115.874601,-31.956931,CITY DELIVERY CENTRE,1
10033,6005,KINGS PARK,115.836896,-31.95707,WEST PERTH DC,0
10034,6005,WEST PERTH,115.836896,-31.95707,WEST PERTH DC,0
10035,6006,NORTH PERTH,115.852913,-31.92934,BASSENDEAN DC,0
10036,6007,LEEDERVILLE,115.834335,-31.935675,OSBORNE PARK DC,0
16457,6007,WEST LEEDERVILLE,115.834335,-31.935675,OSBORNE PARK DC,0
16458,6008,DAGLISH,115.811432,-31.956599,NEDLANDS DC,0
16459,6008,SHENTON PARK,115.811432,-31.956599,NEDLANDS DC,0
16460,6008,SUBIACO,115.811432,-31.956599,NEDLANDS DC,0
16461,6008,SUBIACO EAST,115.811432,-31.956599,NEDLANDS DC,0
16462,6009,BROADWAY NEDLANDS,115.804692,-31.985791,NEDLANDS DC,0
16463,6009,CRAWLEY,115.804692,-31.985791,NEDLANDS DC,1
16464,6009,DALKEITH,115.804692,-31.985791,NEDLANDS DC,1
16465,6009,NEDLANDS,115.804692,-31.985791,NEDLANDS DC,1
16466,6009,NEDLANDS DC,115.804692,-31.985791,Perth Metro,0
16467,6010,CLAREMONT,115.77639,-31.971647,NEDLANDS DC,1
16468,6010,CLAREMONT NORTH,115.77639,-31.971647,NEDLANDS DC,0
16469,6010,KARRAKATTA,115.77639,-31.971647,NEDLANDS DC,0
16470,6010,MOUNT CLAREMONT,115.77639,-31.971647,NEDLANDS DC,0
16471,6010,SWANBOURNE,115.77639,-31.971647,NEDLANDS DC,0
16472,6011,COTTESLOE,115.757646,-31.996371,NEDLANDS DC,0
16473,6011,PEPPERMINT GROVE,115.757646,-31.996371,NEDLANDS DC,0
16474,6012,MOSMAN PARK,115.763404,-32.015976,NEDLANDS DC,0
16475,6014,FLOREAT,115.808169,-31.936389,OSBORNE PARK DC,1
16476,6014,FLOREAT FORUM,115.808169,-31.936389,OSBORNE PARK DC,0
16477,6014,JOLIMONT,115.808169,-31.936389,OSBORNE PARK DC,0
16478,6014,WEMBLEY,115.808169,-31.936389,Perth Metro,0
16479,6015,CITY BEACH,115.764683,-31.938454,GWELUP DC,0
16480,6016,GLENDALOUGH,115.831181,-31.921222,OSBORNE PARK DC,0
16481,6016,MOUNT HAWTHORN,115.831181,-31.921222,OSBORNE PARK DC,0
16482,6017,HERDSMAN,115.814562,-31.908357,OSBORNE PARK DC,0
16483,6017,OSBORNE PARK,115.814562,-31.908357,OSBORNE PARK DC,1
16484,6017,OSBORNE PARK DC,115.814562,-31.908357,Perth Metro,0
16485,6018,CHURCHLANDS,115.786821,-31.891957,GWELUP DC,1
16486,6018,DOUBLEVIEW,115.786821,-31.891957,GWELUP DC,0
16487,6018,GWELUP,115.786821,-31.891957,GWELUP DC,0
16488,6018,GWELUP DC,115.786821,-31.891957,Perth Metro,1
16489,6018,INNALOO,115.786821,-31.891957,GWELUP DC,1
16490,6018,KARRINYUP,115.786821,-31.891957,GWELUP DC,0
16491,6018,WOODLANDS,115.786821,-31.891957,GWELUP DC,0
16492,6019,SCARBOROUGH,115.769183,-31.90733,GWELUP DC,0
16493,6019,WEMBLEY DOWNS,115.769183,-31.90733,GWELUP DC,0
16494,6020,CARINE,115.765396,-31.852698,GWELUP DC,0
16495,6020,MARMION,115.765396,-31.852698,GWELUP DC,0
16496,6020,NORTH BEACH,115.765396,-31.852698,GWELUP DC,0
16497,6020,SORRENTO,115.765396,-31.852698,GWELUP DC,0
16498,6020,WATERMANS BAY,115.765396,-31.852698,Perth Metro,0
16499,6021,BALCATTA,115.811933,-31.871671,OSBORNE PARK DC,0
16500,6021,STIRLING,115.811933,-31.871671,OSBORNE PARK DC,0
16501,6022,HAMERSLEY,115.80924,-31.851998,WANGARA DC,0
16502,6023,DUNCRAIG,115.774028,-31.834469,WANGARA DC,0
16503,6023,GLENGARRY,115.774028,-31.834469,Perth Metro,0
16504,6024,GREENWOOD,115.803068,-31.83489,WANGARA DC,0
